Gen_num,Gen_name,Bus,Tech,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
66,222_Hydro_3,222,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,222_Hydro_4,222,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,222_Hydro_5,222,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,222_Hydro_6,222,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,223_Coal_1,223,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
71,223_Coal_2,223,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
72,223_Coal_3,223,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
73,223_Gas_CT_1,223,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
74,223_Gas_CT_2,223,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
75,223_Gas_CT_3,223,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
76,301_Oil_CT_1,301,Oil_CT,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
77,301_Oil_CT_2,301,Oil_CT,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
78,301_Gas_CT_1,301,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
79,301_Gas_CT_2,301,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
80,302_Oil_CT_1,302,Oil_CT,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
81,302_Oil_CT_2,302,Oil_CT,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
82,302_Gas_CT_1,302,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
83,302_Gas_CT_2,302,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
85,307_Gas_CT_1,307,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
86,307_Gas_CT_2,307,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
91,313_Gas_CC_1,313,Gas_CC,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
99,315_Oil_ST_1,315,Oil_ST,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
100,315_Oil_ST_2,315,Oil_ST,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
101,315_Oil_ST_3,315,Oil_ST,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
102,315_Oil_ST_4,315,Oil_ST,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
103,315_Oil_ST_5,315,Oil_ST,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
104,315_Gas_CT_1,315,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
105,315_Gas_CT_2,315,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
106,315_Gas_CT_3,315,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
107,316_Coal_1,316,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
109,318_Gas_CC_1,318,Gas_CC,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
112,321_Gas_CC_1,321,Gas_CC,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
113,322_Gas_CT_1,322,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
114,322_Gas_CT_2,322,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
115,322_Hydro_1,322,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,322_Hydro_2,322,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,322_Hydro_3,322,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,322_Hydro_4,322,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,323_Gas_CC_1,323,Gas_CC,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
120,323_Gas_CC_2,323,Gas_CC,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
483,107_Gas_CT_Cand,107,Gas_CT_Cand,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
484,113_Gas_CT_Cand,113,Gas_CT_Cand,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
485,118_Gas_CT_Cand,118,Gas_CT_Cand,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
486,123_Gas_CT_Cand,123,Gas_CT_Cand,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
487,207_Gas_CT_Cand,207,Gas_CT_Cand,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
488,213_Gas_CT_Cand,213,Gas_CT_Cand,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
489,215_Gas_CT_Cand,215,Gas_CT_Cand,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
490,218_Gas_CT_Cand,218,Gas_CT_Cand,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
