Line_Number,EXIST,CAND,From_Bus_Number,From_Area,From_Bus_Voltage (kV),From_Bus_Name,To_Bus_Number,To_Area,To_Bus_Voltage (kV),To_Bus_Name,Substation?,Interface?,Rating_F,Rating_B,R,X,B,Length,Tx_cost,Tx_limit,Lead_Time
61,1,0,212,2,230,Barkla,213,2,230,Barlow,NO,NO,175,175,0.006,0.048,0.1,33,247866.6667,750,0
62,1,0,212,2,230,Barkla,223,2,230,Bloch,NO,NO,175,175,0.012,0.097,0.203,67,503244.4444,750,0
63,1,0,213,2,230,Barlow,223,2,230,Bloch,NO,NO,175,175,0.011,0.087,0.182,60,450666.6667,750,0
64,1,0,214,2,230,Barry,216,2,230,Basov,NO,NO,175,175,0.005,0.059,0.082,27,202800,750,0
65,1,0,215,2,230,Barton,216,2,230,Basov,NO,NO,175,175,0.002,0.017,0.036,12,90133.33333,750,0
66,1,0,215,2,230,Barton,221,2,230,Behring,NO,NO,175,175,0.006,0.049,0.103,34,255377.7778,750,0
67,1,0,215,2,230,Barton,221,2,230,Behring,NO,NO,175,175,0.006,0.049,0.103,34,255377.7778,750,0
68,1,0,215,2,230,Barton,224,2,230,Bordet,NO,NO,175,175,0.007,0.052,0.109,36,270400,750,0
69,1,0,216,2,230,Basov,217,2,230,Bates,NO,NO,175,175,0.003,0.026,0.055,18,135200,750,0
70,1,0,216,2,230,Basov,219,2,230,Bede,NO,NO,175,175,0.003,0.023,0.049,16,120177.7778,750,0
71,1,0,217,2,230,Bates,218,2,230,Bayle,NO,NO,175,175,0.002,0.014,0.03,10,75111.11111,750,0
72,1,0,217,2,230,Bates,222,2,230,Bell,NO,NO,175,175,0.014,0.105,0.221,73,548311.1111,750,0
73,1,0,218,2,230,Bayle,221,2,230,Behring,NO,NO,175,175,0.003,0.026,0.055,18,135200,750,0
74,1,0,218,2,230,Bayle,221,2,230,Behring,NO,NO,175,175,0.003,0.026,0.055,18,135200,750,0
75,1,0,219,2,230,Bede,220,2,230,Beethoven,NO,NO,175,175,0.005,0.04,0.083,27.5,206555.5556,750,0
76,1,0,219,2,230,Bede,220,2,230,Beethoven,NO,NO,175,175,0.005,0.04,0.083,27.5,206555.5556,750,0
77,1,0,220,2,230,Beethoven,223,2,230,Bloch,NO,NO,175,175,0.003,0.022,0.046,15,112666.6667,750,0
78,1,0,220,2,230,Beethoven,223,2,230,Bloch,NO,NO,175,175,0.003,0.022,0.046,15,112666.6667,750,0
79,1,0,221,2,230,Behring,222,2,230,Bell,NO,NO,175,175,0.009,0.068,0.142,47,353022.2222,750,0
80,1,0,301,3,138,Cabell,302,3,138,Cabot,NO,NO,61.25,61.25,0.003,0.014,0.461,3,62000,262.5,0
81,1,0,301,3,138,Cabell,303,3,138,Caesar,NO,NO,61.25,61.25,0.055,0.211,0.057,55,1136666.667,262.5,0
82,1,0,301,3,138,Cabell,305,3,138,Calvin,NO,NO,61.25,61.25,0.022,0.085,0.023,22,454666.6667,262.5,0
83,1,0,302,3,138,Cabot,304,3,138,Caine,NO,NO,61.25,61.25,0.033,0.127,0.034,33,682000,262.5,0
84,1,0,302,3,138,Cabot,306,3,138,Camus,NO,NO,61.25,61.25,0.05,0.192,0.052,50,1033333.333,262.5,0
85,1,0,303,3,138,Caesar,309,3,138,Carter,NO,NO,61.25,61.25,0.031,0.119,0.032,31,640666.6667,262.5,0
86,1,0,303,3,138,Caesar,324,3,230,Curie,YES,NO,140,140,0.002,0.084,0,0,7511.111111,600,0
87,1,0,304,3,138,Caine,309,3,138,Carter,NO,NO,61.25,61.25,0.027,0.104,0.028,27,558000,262.5,0
88,1,0,305,3,138,Calvin,310,3,138,Caruso,NO,NO,61.25,61.25,0.023,0.088,0.024,23,475333.3333,262.5,0
89,1,0,306,3,138,Camus,310,3,138,Caruso,NO,NO,61.25,61.25,0.014,0.061,2.459,16,330666.6667,262.5,0
90,1,0,307,3,138,Carew,308,3,138,Carrel,NO,NO,61.25,61.25,0.016,0.061,0.017,16,330666.6667,262.5,0
91,1,0,308,3,138,Carrel,309,3,138,Carter,NO,NO,61.25,61.25,0.043,0.165,0.045,43,888666.6667,262.5,0
92,1,0,308,3,138,Carrel,310,3,138,Caruso,NO,NO,61.25,61.25,0.043,0.165,0.045,43,888666.6667,262.5,0
93,1,0,309,3,138,Carter,311,3,230,Cary,YES,NO,140,140,0.002,0.084,0,0,7511.111111,600,0
94,1,0,309,3,138,Carter,312,3,230,Caxton,YES,NO,140,140,0.002,0.084,0,0,7511.111111,600,0
95,1,0,310,3,138,Caruso,311,3,230,Cary,YES,NO,140,140,0.002,0.084,0,0,7511.111111,600,0
96,1,0,310,3,138,Caruso,312,3,230,Caxton,YES,NO,140,140,0.002,0.084,0,0,7511.111111,600,0
97,1,0,311,3,230,Cary,313,3,230,Cecil,NO,NO,175,175,0.006,0.048,0.1,33,247866.6667,750,0
98,1,0,311,3,230,Cary,314,3,230,Chain,NO,NO,175,175,0.005,0.042,0.088,29,217822.2222,750,0
99,1,0,312,3,230,Caxton,313,3,230,Cecil,NO,NO,175,175,0.006,0.048,0.1,33,247866.6667,750,0
100,1,0,312,3,230,Caxton,323,3,230,Comte,NO,NO,175,175,0.012,0.097,0.203,67,503244.4444,750,0
101,1,0,313,3,230,Cecil,323,3,230,Comte,NO,NO,175,175,0.011,0.087,0.182,60,450666.6667,750,0
102,1,0,314,3,230,Chain,316,3,230,Chifa,NO,NO,175,175,0.005,0.059,0.082,27,202800,750,0
103,1,0,315,3,230,Chase,316,3,230,Chifa,NO,NO,175,175,0.002,0.017,0.036,12,90133.33333,750,0
104,1,0,315,3,230,Chase,321,3,230,Cobb,NO,NO,175,175,0.006,0.049,0.103,34,255377.7778,750,0
105,1,0,315,3,230,Chase,321,3,230,Cobb,NO,NO,175,175,0.006,0.049,0.103,34,255377.7778,750,0
106,1,0,315,3,230,Chase,324,3,230,Curie,NO,NO,175,175,0.007,0.052,0.109,36,270400,750,0
107,1,0,316,3,230,Chifa,317,3,230,Chuhsi,NO,NO,175,175,0.003,0.026,0.055,18,135200,750,0
108,1,0,316,3,230,Chifa,319,3,230,Clay,NO,NO,175,175,0.003,0.023,0.049,16,120177.7778,750,0
109,1,0,317,3,230,Chuhsi,318,3,230,Clark,NO,NO,175,175,0.002,0.014,0.03,10,75111.11111,750,0
110,1,0,317,3,230,Chuhsi,322,3,230,Cole,NO,NO,175,175,0.014,0.105,0.221,73,548311.1111,750,0
111,1,0,318,3,230,Clark,321,3,230,Cobb,NO,NO,175,175,0.003,0.026,0.055,18,135200,750,0
112,1,0,318,3,230,Clark,321,3,230,Cobb,NO,NO,175,175,0.003,0.026,0.055,18,135200,750,0
113,1,0,319,3,230,Clay,320,3,230,Clive,NO,NO,175,175,0.005,0.04,0.083,27.5,206555.5556,750,0
114,1,0,319,3,230,Clay,320,3,230,Clive,NO,NO,175,175,0.005,0.04,0.083,27.5,206555.5556,750,0
115,1,0,320,3,230,Clive,323,3,230,Comte,NO,NO,175,175,0.003,0.022,0.046,15,112666.6667,750,0
116,1,0,320,3,230,Clive,323,3,230,Comte,NO,NO,175,175,0.003,0.022,0.046,15,112666.6667,750,0
117,1,0,321,3,230,Cobb,322,3,230,Cole,NO,NO,175,175,0.009,0.068,0.142,47,353022.2222,750,0
118,1,0,325,3,230,Curtiss,121,1,230,Attlee,NO,YES,250,250,0.012,0.097,0.203,67,503244.4444,750,0
119,1,0,318,3,230,Clark,223,2,230,Bloch,NO,YES,250,250,0.013,0.104,0.218,72,540800,750,0
120,1,0,323,3,230,Comte,325,3,230,Curtiss,NO,NO,252.7,252.7,0,0.009,0,1,75111.11111,1083,0
