Gen_num,Gen_name,Bus_num,Bus,Tech,Tech_Num,Cap,MinCap,CandCap,SystCap,PlannedYr,RetYr,RetCap,CapCred,LeadTime,YearAvail,HR,FOM,VOM,PTC,ITC,Lifetime,Ramp,FOR,CO2,SO2,NO2,TransAdder,MTTF,MTTR
36,122_Wind_1,122,Aubrey,Wind,7,713.5,0,0,0,2020,2050,0,0.39,0,2020,0,30152.9375,0,0,0,100,0,0,0,0,0,0,0,0
37,123_Coal_1,123,Austen,Coal,2,155,62,0,0,2020,2030,155,0.95,0,2020,13.357,85074.35938,9.368948438,0,0,100,0.04,0.04,0,0,0,0,960,40
38,123_Coal_2,123,Austen,Coal,2,350,140,0,0,2020,2030,350,0.95,0,2020,13.357,85074.35938,9.368948438,0,0,100,0.04,0.08,0,0,0,0,1150,100
39,123_Gas_CT_1,123,Austen,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,7.998,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
40,123_Gas_CT_2,123,Austen,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,7.998,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
41,123_Gas_CT_3,123,Austen,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,7.998,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
42,201_Oil_CT_1,201,Bach,Oil_CT,5,20,8,0,0,2020,2030,20,0.95,0,2020,10.782,16821.03156,4.630629688,0,0,100,0.04,0.1,0,0,0,0,450,50
43,201_Oil_CT_2,201,Bach,Oil_CT,5,20,8,0,0,2020,2030,20,0.95,0,2020,10.782,16821.03156,4.630629688,0,0,100,0.04,0.1,0,0,0,0,450,50
44,201_Coal_1,201,Bach,Coal,2,76,30,0,0,2020,2030,76,0.95,0,2020,12.185,85074.35938,9.368948438,0,0,100,0.04,0.02,0,0,0,0,1960,40
45,201_Hydro_1,201,Bach,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
46,202_Oil_CT_1,202,Bacon,Oil_CT,5,20,8,0,0,2020,2030,20,0.95,0,2020,9.454,16821.03156,4.630629688,0,0,100,0.04,0.1,0,0,0,0,450,50
47,202_Oil_CT_2,202,Bacon,Oil_CT,5,20,8,0,0,2020,2030,20,0.95,0,2020,9.454,16821.03156,4.630629688,0,0,100,0.04,0.1,0,0,0,0,450,50
48,202_Coal_1,202,Bacon,Coal,2,76,30,0,0,2020,2040,76,0.95,0,2020,12.902,85074.35938,9.368948438,0,0,100,0.04,0.02,0,0,0,0,1960,40
49,202_Coal_2,202,Bacon,Coal,2,76,30,0,0,2020,2040,76,0.95,0,2020,12.902,85074.35938,9.368948438,0,0,100,0.04,0.02,0,0,0,0,1960,40
50,207_Gas_CT_1,207,Baker,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,10.955,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
51,207_Gas_CT_2,207,Baker,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,10.955,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
52,213_Gas_CC_1,213,Barlow,Gas_CC,4,355,170,0,0,2020,2040,355,0.95,0,2020,8.749,32306.71875,2.046092188,0,0,100,0.05,0.033,0,0,0,0,967,33
53,213_Gas_CT_1,213,Barlow,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,7.797,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
54,213_Gas_CT_2,213,Barlow,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,7.797,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
55,215_Gas_CT_1,215,Barton,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,8.421,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
56,215_Gas_CT_1,215,Barton,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,8.421,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
57,215_Hydro_1,215,Barton,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
58,215_Hydro_2,215,Barton,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
59,215_Hydro_3,215,Barton,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
60,215_PV_1,215,Barton,Solar,8,125.1,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
61,216_Coal_1,216,Basov,Coal,2,155,62,0,0,2020,2040,155,0.95,0,2020,11.191,85074.35938,9.368948438,0,0,100,0.04,0.04,0,0,0,0,960,40
62,218_Gas_CC_1,218,Bayle,Gas_CC,4,355,170,0,0,2020,2040,355,0.95,0,2020,7.658,32306.71875,2.046092188,0,0,100,0.05,0.033,0,0,0,0,967,33
63,221_Gas_CC_1,221,Behring,Gas_CC,4,355,170,0,0,2020,2045,355,0.95,0,2020,9.293,32306.71875,2.046092188,0,0,100,0.05,0.033,0,0,0,0,967,33
64,222_Hydro_1,222,Bell,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
65,222_Hydro_2,222,Bell,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
66,222_Hydro_3,222,Bell,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
67,222_Hydro_4,222,Bell,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
68,222_Hydro_5,222,Bell,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
69,222_Hydro_6,222,Bell,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
70,223_Coal_1,223,Bloch,Coal,2,155,62,0,0,2020,2030,155,0.95,0,2020,10.321,85074.35938,9.368948438,0,0,100,0.04,0.04,0,0,0,0,960,40
71,223_Coal_2,223,Bloch,Coal,2,155,62,0,0,2020,2030,155,0.95,0,2020,10.321,85074.35938,9.368948438,0,0,100,0.04,0.04,0,0,0,0,960,40
72,223_Coal_3,223,Bloch,Coal,2,350,140,0,0,2020,2030,350,0.95,0,2020,10.321,85074.35938,9.368948438,0,0,100,0.04,0.08,0,0,0,0,1150,100
73,223_Gas_CT_1,223,Bloch,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,10.676,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
74,223_Gas_CT_2,223,Bloch,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,10.676,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
75,223_Gas_CT_3,223,Bloch,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,10.676,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
76,301_Oil_CT_1,301,Cabell,Oil_CT,5,20,8,0,0,2020,2030,20,0.95,0,2020,10.181,16821.03156,4.630629688,0,0,100,0.04,0.1,0,0,0,0,450,50
77,301_Oil_CT_2,301,Cabell,Oil_CT,5,20,8,0,0,2020,2030,20,0.95,0,2020,10.181,16821.03156,4.630629688,0,0,100,0.04,0.1,0,0,0,0,450,50
78,301_Gas_CT_1,301,Cabell,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,11.253,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
79,301_Gas_CT_2,301,Cabell,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,11.253,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
80,302_Oil_CT_1,302,Cabot,Oil_CT,5,20,8,0,0,2020,2030,20,0.95,0,2020,10.181,16821.03156,4.630629688,0,0,100,0.04,0.1,0,0,0,0,450,50
81,302_Oil_CT_2,302,Cabot,Oil_CT,5,20,8,0,0,2020,2030,20,0.95,0,2020,10.181,16821.03156,4.630629688,0,0,100,0.04,0.1,0,0,0,0,450,50
82,302_Gas_CT_1,302,Cabot,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,9.939,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
83,302_Gas_CT_2,302,Cabot,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,9.939,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
84,303_Wind_1,303,Caesar,Wind,7,847,0,0,0,2020,2050,0,0.39,0,2020,0,30152.9375,0,0,0,100,0,0,0,0,0,0,0,0
85,307_Gas_CT_1,307,Carew,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,9.126,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
86,307_Gas_CT_2,307,Carew,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,9.126,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
87,309_Wind_1,309,Carter,Wind,7,148.3,0,0,0,2020,2050,0,0.39,0,2020,0,30152.9375,0,0,0,100,0,0,0,0,0,0,0,0
88,310_PV_1,310,Caruso,Solar,8,51.7,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
89,310_PV_2,310,Caruso,Solar,8,51.6,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
90,312_PV_1,312,Caxton,Solar,8,94.1,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
91,313_Gas_CC_1,313,Cecil,Gas_CC,4,355,170,0,0,2020,2040,355,0.95,0,2020,8.683,32306.71875,2.046092188,0,0,100,0.05,0.033,0,0,0,0,967,33
92,313_PV_1,313,Cecil,Solar,8,95.1,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
93,313_PV_2,313,Cecil,Solar,8,93.3,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
94,313_ES_1,313,Cecil,ES,10,50,0,0,0,2020,2050,0,0.95,0,2020,0,23691.59375,0,0,0,30,1,0,0,0,0,0,0,0
95,314_PV_1,314,Chain,Solar,8,51.6,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
96,314_PV_2,314,Chain,Solar,8,51.6,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
97,314_PV_3,314,Chain,Solar,8,92.7,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
98,314_PV_4,314,Chain,Solar,8,51.6,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
99,315_Oil_ST_1,315,Chase,Oil_ST,6,12,5,0,0,2020,2030,12,0.95,0,2020,11.991,32015.95828,1.076890625,0,0,100,0.04,0.02,0,0,0,0,2940,60
100,315_Oil_ST_2,315,Chase,Oil_ST,6,12,5,0,0,2020,2030,12,0.95,0,2020,11.991,32015.95828,1.076890625,0,0,100,0.04,0.02,0,0,0,0,2940,60
101,315_Oil_ST_3,315,Chase,Oil_ST,6,12,5,0,0,2020,2030,12,0.95,0,2020,11.991,32015.95828,1.076890625,0,0,100,0.04,0.02,0,0,0,0,2940,60
102,315_Oil_ST_4,315,Chase,Oil_ST,6,12,5,0,0,2020,2030,12,0.95,0,2020,11.991,32015.95828,1.076890625,0,0,100,0.04,0.02,0,0,0,0,2940,60
103,315_Oil_ST_5,315,Chase,Oil_ST,6,12,5,0,0,2020,2030,12,0.95,0,2020,11.991,32015.95828,1.076890625,0,0,100,0.04,0.02,0,0,0,0,2940,60
104,315_Gas_CT_1,315,Chase,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,8.195,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
105,315_Gas_CT_2,315,Chase,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,8.195,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
106,315_Gas_CT_3,315,Chase,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,8.195,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
107,316_Coal_1,316,Chifa,Coal,2,155,62,0,0,2020,2040,155,0.95,0,2020,12.902,85074.35938,9.368948438,0,0,100,0.04,0.04,0,0,0,0,960,40
108,317_Wind_1,317,Chuhsi,Wind,7,799.1,0,0,0,2020,2050,0,0.39,0,2020,0,30152.9375,0,0,0,100,0,0,0,0,0,0,0,0
109,318_Gas_CC_1,318,Clark,Gas_CC,4,355,170,0,0,2020,2040,355,0.95,0,2020,8.111,32306.71875,2.046092188,0,0,100,0.05,0.033,0,0,0,0,967,33
110,319_PV_1,319,Clay,Solar,8,188.2,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
111,320_PV_1,320,Clive,Solar,8,51.6,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
112,321_Gas_CC_1,321,Cobb,Gas_CC,4,355,170,0,0,2020,2040,355,0.95,0,2020,8.733,32306.71875,2.046092188,0,0,100,0.05,0.033,0,0,0,0,967,33
113,322_Gas_CT_1,322,Cole,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,7.176,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
114,322_Gas_CT_2,322,Cole,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,7.176,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
115,322_Hydro_1,322,Cole,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
116,322_Hydro_2,322,Cole,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
117,322_Hydro_3,322,Cole,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
118,322_Hydro_4,322,Cole,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
119,323_Gas_CC_1,323,Comte,Gas_CC,4,355,170,0,0,2020,2045,355,0.95,0,2020,8.162,32306.71875,2.046092188,0,0,100,0.05,0.033,0,0,0,0,967,33
120,323_Gas_CC_2,323,Comte,Gas_CC,4,355,170,0,0,2020,2045,355,0.95,0,2020,8.162,32306.71875,2.046092188,0,0,100,0.05,0.033,0,0,0,0,967,33
121,324_PV_1,324,Curie,Solar,8,49.7,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
122,324_PV_2,324,Curie,Solar,8,51.6,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
123,324_PV_3,324,Curie,Solar,8,51,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
124,101_Solar_Cand,101,Abel,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
125,102_Solar_Cand,102,Adams,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
126,103_Solar_Cand,103,Adler,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
127,104_Solar_Cand,104,Agricola,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
128,105_Solar_Cand,105,Aiken,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
129,106_Solar_Cand,106,Alber,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
130,107_Solar_Cand,107,Alder,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
131,108_Solar_Cand,108,Alger,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
132,109_Solar_Cand,109,Ali,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
133,110_Solar_Cand,110,Allen,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
134,111_Solar_Cand,111,Anna,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
135,112_Solar_Cand,112,Archer,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
136,113_Solar_Cand,113,Arne,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
137,114_Solar_Cand,114,Arnold,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
138,115_Solar_Cand,115,Arthur,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
139,116_Solar_Cand,116,Asser,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
140,117_Solar_Cand,117,Aston,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
141,118_Solar_Cand,118,Astor,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
142,119_Solar_Cand,119,Attar,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
143,120_Solar_Cand,120,Attila,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
144,121_Solar_Cand,121,Attlee,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
145,122_Solar_Cand,122,Aubrey,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
146,123_Solar_Cand,123,Austen,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
147,124_Solar_Cand,124,Avery,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
148,201_Solar_Cand,201,Bach,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
149,202_Solar_Cand,202,Bacon,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
150,203_Solar_Cand,203,Baffin,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
151,204_Solar_Cand,204,Bailey,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
152,205_Solar_Cand,205,Bain,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
153,206_Solar_Cand,206,Bajer,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
154,207_Solar_Cand,207,Baker,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
155,208_Solar_Cand,208,Balch,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
156,209_Solar_Cand,209,Balzac,Solar_Cand,16,0,0,100,500,0,0,0,0.28,0,2020,0,17230.25,0,26,0,20,0,0,0,0,0,0,0,0
