Gen_num,Gen_name,Cap,MinCap,HR,Min Down Time Hr,Min Up Time Hr,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,AGC capable,Fast start
24,115_Oil_ST_2,12,5,12.913,2,4,12,4,2,68,44,38,0.416666667,0.611111111,0.805555556,1,17340,12030,12083,12913,1,0
25,115_Coal_1,155,62,12.796,8,8,60,11,3,10778.1,7437.5,6892.1,0.4,0.6,0.8,1,11446,9650,10640,12796,1,0
26,116_Coal_1,155,62,11.294,8,8,60,11,3,10778.1,7437.5,6892.1,0.4,0.6,0.8,1,13238,9312,10158,11294,1,0
27,118_Gas_CC_1,355,170,8.351,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,7257,5808,7140,8351,1,1
29,121_Nuclear_1,400,396,400,48,24,9999,9999,9999,78978,0,9999,0.81035,0.99,0.993333333,0.996666667,10000,0,0,0,0,0
37,123_Coal_1,155,62,13.357,8,8,60,11,3,10778.1,7437.5,6892.1,0.4,0.6,0.8,1,10967,9191,10865,15627,1,0
38,123_Coal_2,350,140,13.357,48,24,96,12,8,17384.1,10114.4,9768.2,0.4,0.6,0.8,1,12106,9453,10240,11087,1,0
39,123_Gas_CT_1,55,22,7.998,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,12725,6757,7667,7998,1,1
40,123_Gas_CT_2,55,22,7.998,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,12725,6757,7667,7998,1,1
41,123_Gas_CT_3,55,22,7.998,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,12725,6757,7667,7998,1,1
42,201_Oil_CT_1,20,8,10.782,1,1,1,0,0,5,5,5,0.4,0.6,0.8,1,13977,7969,8107,10782,1,1
43,201_Oil_CT_2,20,8,10.782,1,1,1,0,0,5,5,5,0.4,0.6,0.8,1,13977,7969,8107,10782,1,1
44,201_Coal_1,76,30,12.185,4,8,12,10,3,5284.8,4861.4,3379.4,0.394736842,0.596491228,0.798245614,1,12989,10495,11090,12185,1,0
46,202_Oil_CT_1,20,8,9.454,1,1,1,0,0,5,5,5,0.4,0.6,0.8,1,13663,7836,8442,9454,1,1
47,202_Oil_CT_2,20,8,9.454,1,1,1,0,0,5,5,5,0.4,0.6,0.8,1,13663,7836,8442,9454,1,1
48,202_Coal_1,76,30,12.902,4,8,12,10,3,5284.8,4861.4,3379.4,0.394736842,0.596491228,0.798245614,1,11846,9989,10070,12902,1,0
49,202_Coal_2,76,30,12.902,4,8,12,10,3,5284.8,4861.4,3379.4,0.394736842,0.596491228,0.798245614,1,11846,9989,10070,12902,1,0
50,207_Gas_CT_1,55,22,10.955,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,13051,8804,9481,10955,1,1
51,207_Gas_CT_2,55,22,10.955,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,13051,8804,9481,10955,1,1
52,213_Gas_CC_1,355,170,8.749,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,7824,6334,6979,8749,1,1
53,213_Gas_CT_1,55,22,7.797,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,13125,6899,7602,7797,1,1
54,213_Gas_CT_2,55,22,7.797,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,13125,6899,7602,7797,1,1
55,215_Gas_CT_1,55,22,8.421,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,14229,6668,6987,8421,1,1
56,215_Gas_CT_1,55,22,8.421,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,14229,6668,6987,8421,1,1
61,216_Coal_1,155,62,11.191,8,8,60,11,3,10778.1,7437.5,6892.1,0.4,0.6,0.8,1,10881,8786,10333,11191,1,0
62,218_Gas_CC_1,355,170,7.658,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,11385,5388,5575,7658,1,1
63,221_Gas_CC_1,355,170,9.293,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,6887,5950,6772,9293,1,1
70,223_Coal_1,155,62,10.321,8,8,60,11,3,10778.1,7437.5,6892.1,0.4,0.6,0.8,1,10857,9004,9314,9659,1,0
71,223_Coal_2,155,62,10.321,8,8,60,11,3,10778.1,7437.5,6892.1,0.4,0.6,0.8,1,10857,9004,9314,9659,1,0
72,223_Coal_3,350,140,10.321,48,24,96,12,8,17384.1,10114.4,9768.2,0.4,0.6,0.8,1,11229,8922,10913,11645,1,0
73,223_Gas_CT_1,55,22,10.676,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,19794,9595,10225,10676,1,1
74,223_Gas_CT_2,55,22,10.676,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,19794,9595,10225,10676,1,1
75,223_Gas_CT_3,55,22,10.676,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,19794,9595,10225,10676,1,1
76,301_Oil_CT_1,20,8,10.181,1,1,1,0,0,5,5,5,0.4,0.6,0.8,1,14593,8431,9633,10181,1,1
77,301_Oil_CT_2,20,8,10.181,1,1,1,0,0,5,5,5,0.4,0.6,0.8,1,14593,8431,9633,10181,1,1
78,301_Gas_CT_1,55,22,11.253,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,13090,7324,7534,11253,1,1
79,301_Gas_CT_2,55,22,11.253,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,13090,7324,7534,11253,1,1
80,302_Oil_CT_1,20,8,10.181,1,1,1,0,0,5,5,5,0.4,0.6,0.8,1,14593,8431,9633,10181,1,1
81,302_Oil_CT_2,20,8,10.181,1,1,1,0,0,5,5,5,0.4,0.6,0.8,1,14593,8431,9633,10181,1,1
82,302_Gas_CT_1,55,22,9.939,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,15395,8693,9874,9939,1,1
83,302_Gas_CT_2,55,22,9.939,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,15395,8693,9874,9939,1,1
85,307_Gas_CT_1,55,22,9.126,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,13353,7176,7517,9126,1,1
86,307_Gas_CT_2,55,22,9.126,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,13353,7176,7517,9126,1,1
91,313_Gas_CC_1,355,170,8.683,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,7934,4047,6883,8683,1,1
99,315_Oil_ST_1,12,5,11.991,2,4,12,4,2,68,44,38,0.416666667,0.611111111,0.805555556,1,14410,7289,9701,11991,1,1
100,315_Oil_ST_2,12,5,11.991,2,4,12,4,2,68,44,38,0.416666667,0.611111111,0.805555556,1,14410,7289,9701,11991,1,1
101,315_Oil_ST_3,12,5,11.991,2,4,12,4,2,68,44,38,0.416666667,0.611111111,0.805555556,1,14410,7289,9701,11991,1,1
102,315_Oil_ST_4,12,5,11.991,2,4,12,4,2,68,44,38,0.416666667,0.611111111,0.805555556,1,14410,7289,9701,11991,1,1
103,315_Oil_ST_5,12,5,11.991,2,4,12,4,2,68,44,38,0.416666667,0.611111111,0.805555556,1,14410,7289,9701,11991,1,1
104,315_Gas_CT_1,55,22,8.195,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,10342,6792,6919,8195,1,1
105,315_Gas_CT_2,55,22,8.195,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,10342,6792,6919,8195,1,1
106,315_Gas_CT_3,55,22,8.195,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,10342,6792,6919,8195,1,1
107,316_Coal_1,155,62,12.902,8,8,60,11,3,10778.1,7437.5,6892.1,0.4,0.6,0.8,1,11846,9989,10070,12902,1,0
109,318_Gas_CC_1,355,170,8.111,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,7952,6906,7017,8111,1,1
112,321_Gas_CC_1,355,170,8.733,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,7227,5848,6665,8733,1,1
113,322_Gas_CT_1,55,22,7.176,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
114,322_Gas_CT_2,55,22,7.176,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
119,323_Gas_CC_1,355,170,8.162,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,1
120,323_Gas_CC_2,355,170,8.162,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,1
483,107_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
484,113_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
485,118_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
486,123_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
487,207_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
488,213_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
489,215_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
490,218_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
491,221_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
492,223_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
493,301_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
494,302_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
495,307_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
496,313_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
497,315_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
498,318_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
499,321_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
500,323_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
501,322_Gas_CT_Cand,1,0.2,9.72,2.2,2.2,1,0.5,0,26.4,20.4,18.9,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
502,107_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
503,113_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
504,118_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
505,123_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
506,207_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
507,213_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
508,215_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
509,218_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
510,221_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
511,223_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
512,301_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
513,302_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
514,307_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
515,313_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
516,315_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
517,318_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
518,321_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
519,323_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
520,322_Gas_CC_Cand,1,0.2,6.08,4.5,8,2,1,0.5,20.3,12.7,9,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,0
521,107_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
522,113_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
523,118_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
524,123_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
525,207_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
526,213_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
527,215_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
528,218_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
529,221_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
530,223_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
531,301_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
532,302_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
533,307_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
534,313_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
535,315_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
536,318_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
537,321_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
538,323_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
539,322_SMR_Cand,1,0.2,9.18,24,24,0,0,0,200,0,0,0.8,0.85,0.9,1,10000,0,0,0,1,0
