Gen_num,Gen_name,PMax MW,PMin MW,Min Down Time Hr,Min Up Time Hr,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,Fast start,AGC capable
29,307_Carew_Gas_CT,110,44,2.2,2.2,1,0.75,0.25,2914.8,2245,905.6,0.4,0.6,0.8,1,13353,7176,7517,9126,1,1
30,315_Chase_Gas_CT,165,66,2.2,2.2,1,0.75,0.25,4372.2,3367.5,1358.4,0.4,0.6,0.8,1,10342,6792,6919,8195,1,1
31,322_Cole_Gas_CT,110,44,2.2,2.2,1,0.75,0.25,2914.8,2245,905.6,0.4,0.6,0.8,1,12064,6003,6817,7176,1,1
37,121_Attlee_Nuclear,400,396,48,24,9999,9999,9999,78978,0,9999,0.99,0.993333333,0.996666667,1,10000,0,0,0,0,0
38,101_Abel_Oil_CT,40,16,1,1,1,0,0,10,10,10,0.4,0.6,0.8,1,13114,9456,9476,10352,1,1
39,102_Adams_Oil_CT,40,16,1,1,1,0,0,10,10,10,0.4,0.6,0.8,1,14639,8597,9147,9622,1,1
40,201_Bach_Oil_CT,40,16,1,1,1,0,0,10,10,10,0.4,0.6,0.8,1,13977,7969,8107,10782,1,1
41,202_Bacon_Oil_CT,40,16,1,1,1,0,0,10,10,10,0.4,0.6,0.8,1,13663,7836,8442,9454,1,1
42,301_Cabell_Oil_CT,40,16,1,1,1,0,0,10,10,10,0.4,0.6,0.8,1,14593,8431,9633,10181,1,1
43,302_Cabot_Oil_CT,40,16,1,1,1,0,0,10,10,10,0.4,0.6,0.8,1,14593,8431,9633,10181,1,1
44,115_Arthur_Oil_ST,24,10,2,4,12,4,2,136,88,76,0.416666667,0.611111111,0.805555556,1,17340,12030,12083,12913,0,1
45,315_Chase_Oil_ST,60,25,2,4,12,4,2,340,220,190,0.416666667,0.611111111,0.805555556,1,14410,7289,9701,11991,1,1
429,107_Alder_Gas_CC,1,0.2,4.5,8,2,1,0.5,20.324,12.777,20.623,0.478873239,0.65258216,0.82629108,1,7934,4047,6883,8683,1,1
430,118_Astor_Gas_CC,1,0.2,4.5,8,2,1,0.5,20.324,12.777,20.623,0.478873239,0.65258216,0.82629108,1,7934,4047,6883,8683,1,1
431,213_Barlow_Gas_CC,1,0.2,4.5,8,2,1,0.5,20.324,12.777,20.623,0.478873239,0.65258216,0.82629108,1,7934,4047,6883,8683,1,1
432,218_Bayle_Gas_CC,1,0.2,4.5,8,2,1,0.5,20.324,12.777,20.623,0.478873239,0.65258216,0.82629108,1,7934,4047,6883,8683,1,1
433,221_Behring_Gas_CC,1,0.2,4.5,8,2,1,0.5,20.324,12.777,20.623,0.478873239,0.65258216,0.82629108,1,7934,4047,6883,8683,1,1
434,313_Cecil_Gas_CC,1,0.2,4.5,8,2,1,0.5,20.324,12.777,20.623,0.478873239,0.65258216,0.82629108,1,7934,4047,6883,8683,1,1
435,318_Clark_Gas_CC,1,0.2,4.5,8,2,1,0.5,20.324,12.777,20.623,0.478873239,0.65258216,0.82629108,1,7934,4047,6883,8683,1,1
436,321_Cobb_Gas_CC,1,0.2,4.5,8,2,1,0.5,20.324,12.777,20.623,0.478873239,0.65258216,0.82629108,1,7934,4047,6883,8683,1,1
437,323_Comte_Gas_CC,1,0.2,4.5,8,2,1,0.5,20.324,12.777,20.623,0.478873239,0.65258216,0.82629108,1,7934,4047,6883,8683,1,1
438,113_Arne_Gas_CT,1,0.2,2.2,2.2,1,0.75,0.25,26.498,20.41,8.233,0.4,0.6,0.8,1,13353,7176,7517,9126,1,1
439,123_Austen_Gas_CT,1,0.2,2.2,2.2,1,0.75,0.25,26.498,20.41,8.233,0.4,0.6,0.8,1,13353,7176,7517,9126,1,1
440,207_Baker_Gas_CT,1,0.2,2.2,2.2,1,0.75,0.25,26.498,20.41,8.233,0.4,0.6,0.8,1,13353,7176,7517,9126,1,1
441,213_Barlow_Gas_CT,1,0.2,2.2,2.2,1,0.75,0.25,26.498,20.41,8.233,0.4,0.6,0.8,1,13353,7176,7517,9126,1,1
442,215_Barton_Gas_CT,1,0.2,2.2,2.2,1,0.75,0.25,26.498,20.41,8.233,0.4,0.6,0.8,1,13353,7176,7517,9126,1,1
443,223_Bloch_Gas_CT,1,0.2,2.2,2.2,1,0.75,0.25,26.498,20.41,8.233,0.4,0.6,0.8,1,13353,7176,7517,9126,1,1
444,301_Cabell_Gas_CT,1,0.2,2.2,2.2,1,0.75,0.25,26.498,20.41,8.233,0.4,0.6,0.8,1,13353,7176,7517,9126,1,1
445,302_Cabot_Gas_CT,1,0.2,2.2,2.2,1,0.75,0.25,26.498,20.41,8.233,0.4,0.6,0.8,1,13353,7176,7517,9126,1,1
446,307_Carew_Gas_CT,1,0.2,2.2,2.2,1,0.75,0.25,26.498,20.41,8.233,0.4,0.6,0.8,1,13353,7176,7517,9126,1,1
447,315_Chase_Gas_CT,1,0.2,2.2,2.2,1,0.75,0.25,26.498,20.41,8.233,0.4,0.6,0.8,1,13353,7176,7517,9126,1,1
448,322_Cole_Gas_CT,1,0.2,2.2,2.2,1,0.75,0.25,26.498,20.41,8.233,0.4,0.6,0.8,1,13353,7176,7517,9126,1,1
