Gen_num,Gen_name,Bus,Tech,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
16,221_Behring_Gas_CC,221,Gas_CC,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
17,313_Cecil_Gas_CC,313,Gas_CC,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
18,318_Clark_Gas_CC,318,Gas_CC,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
19,321_Cobb_Gas_CC,321,Gas_CC,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
20,323_Comte_Gas_CC,323,Gas_CC,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
21,113_Arne_Gas_CT,113,Gas_CT,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
22,123_Austen_Gas_CT,123,Gas_CT,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
23,207_Baker_Gas_CT,207,Gas_CT,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
24,213_Barlow_Gas_CT,213,Gas_CT,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
25,215_Barton_Gas_CT,215,Gas_CT,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
26,223_Bloch_Gas_CT,223,Gas_CT,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
27,301_Cabell_Gas_CT,301,Gas_CT,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
28,302_Cabot_Gas_CT,302,Gas_CT,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
29,307_Carew_Gas_CT,307,Gas_CT,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
30,315_Chase_Gas_CT,315,Gas_CT,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
31,322_Cole_Gas_CT,322,Gas_CT,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
32,122_Aubrey_Hydro,122,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,201_Bach_Hydro,201,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,215_Barton_Hydro,215,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,222_Bell_Hydro,222,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,322_Cole_Hydro,322,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,121_Attlee_Nuclear,121,Nuclear,0.81035,0.8346605,0.859700315,0.885491324,0.912056064,0.939417746,0.967600278,0.996628287,1.026527135,1.05732295,1.089042638,1.121713917,1.155365335,1.190026295,1.225727084,1.262498896,1.300373863,1.339385079,1.379566631,1.42095363,1.463582239,1.507489706,1.552714397
38,101_Abel_Oil_CT,101,Oil_CT,10.3494,10.659882,10.97967846,11.30906881,11.64834088,11.9977911,12.35772484,12.72845658,13.11031028,13.50361959,13.90872818,14.32599002,14.75576972,15.19844281,15.6543961,16.12402798,16.60774882,17.10598129,17.61916072,18.14773555,18.69216761,19.25293264,19.83052062
39,102_Adams_Oil_CT,102,Oil_CT,10.3494,10.659882,10.97967846,11.30906881,11.64834088,11.9977911,12.35772484,12.72845658,13.11031028,13.50361959,13.90872818,14.32599002,14.75576972,15.19844281,15.6543961,16.12402798,16.60774882,17.10598129,17.61916072,18.14773555,18.69216761,19.25293264,19.83052062
40,201_Bach_Oil_CT,201,Oil_CT,10.3494,10.659882,10.97967846,11.30906881,11.64834088,11.9977911,12.35772484,12.72845658,13.11031028,13.50361959,13.90872818,14.32599002,14.75576972,15.19844281,15.6543961,16.12402798,16.60774882,17.10598129,17.61916072,18.14773555,18.69216761,19.25293264,19.83052062
41,202_Bacon_Oil_CT,202,Oil_CT,10.3494,10.659882,10.97967846,11.30906881,11.64834088,11.9977911,12.35772484,12.72845658,13.11031028,13.50361959,13.90872818,14.32599002,14.75576972,15.19844281,15.6543961,16.12402798,16.60774882,17.10598129,17.61916072,18.14773555,18.69216761,19.25293264,19.83052062
42,301_Cabell_Oil_CT,301,Oil_CT,10.3494,10.659882,10.97967846,11.30906881,11.64834088,11.9977911,12.35772484,12.72845658,13.11031028,13.50361959,13.90872818,14.32599002,14.75576972,15.19844281,15.6543961,16.12402798,16.60774882,17.10598129,17.61916072,18.14773555,18.69216761,19.25293264,19.83052062
43,302_Cabot_Oil_CT,302,Oil_CT,10.3494,10.659882,10.97967846,11.30906881,11.64834088,11.9977911,12.35772484,12.72845658,13.11031028,13.50361959,13.90872818,14.32599002,14.75576972,15.19844281,15.6543961,16.12402798,16.60774882,17.10598129,17.61916072,18.14773555,18.69216761,19.25293264,19.83052062
44,115_Arthur_Oil_ST,115,Oil_ST,10.3494,10.659882,10.97967846,11.30906881,11.64834088,11.9977911,12.35772484,12.72845658,13.11031028,13.50361959,13.90872818,14.32599002,14.75576972,15.19844281,15.6543961,16.12402798,16.60774882,17.10598129,17.61916072,18.14773555,18.69216761,19.25293264,19.83052062
45,315_Chase_Oil_ST,315,Oil_ST,10.3494,10.659882,10.97967846,11.30906881,11.64834088,11.9977911,12.35772484,12.72845658,13.11031028,13.50361959,13.90872818,14.32599002,14.75576972,15.19844281,15.6543961,16.12402798,16.60774882,17.10598129,17.61916072,18.14773555,18.69216761,19.25293264,19.83052062
429,107_Alder_Gas_CC,107,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
430,118_Astor_Gas_CC,118,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
431,213_Barlow_Gas_CC,213,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
432,218_Bayle_Gas_CC,218,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
433,221_Behring_Gas_CC,221,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
434,313_Cecil_Gas_CC,313,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
435,318_Clark_Gas_CC,318,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
436,321_Cobb_Gas_CC,321,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
437,323_Comte_Gas_CC,323,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
438,113_Arne_Gas_CT,113,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
439,123_Austen_Gas_CT,123,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
440,207_Baker_Gas_CT,207,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
441,213_Barlow_Gas_CT,213,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
442,215_Barton_Gas_CT,215,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
443,223_Bloch_Gas_CT,223,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
444,301_Cabell_Gas_CT,301,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
445,302_Cabot_Gas_CT,302,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
446,307_Carew_Gas_CT,307,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
447,315_Chase_Gas_CT,315,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
448,322_Cole_Gas_CT,322,Gas_Cand,3.88722,4.0038366,4.123951698,4.247670249,4.375100356,4.506353367,4.641543968,4.780790287,4.924213996,5.071940416,5.224098628,5.380821587,5.542246235,5.708513622,5.87976903,6.056162101,6.237846964,6.424982373,6.617731844,6.8162638,7.020751714,7.231374265,7.448315493
